Date	Time	Temp.(degC)	Pressure(Torr)
2018-08-03	20:31:03	60.299999	0.002896
2018-08-03	20:37:23	60.099998	0.002831
2018-08-03	20:38:15	60.099998	0.002831
2018-08-03	20:38:22	60.099998	0.002863
2018-08-03	20:43:01	60.099998	0.002831
2018-08-03	20:44:01	60.099998	0.002800
2018-08-03	20:45:01	60.099998	0.002800
2018-08-03	20:46:01	60.000000	0.002831
2018-08-03	20:47:01	60.000000	0.002831
2018-08-03	20:48:01	59.599998	0.002769
2018-08-03	20:49:01	59.099998	0.002831
2018-08-03	20:50:01	58.500000	0.002769
2018-08-03	20:51:01	57.799999	0.002769
2018-08-03	20:52:02	57.299999	0.002738
2018-08-03	20:53:01	56.700001	0.002677
2018-08-03	20:54:01	56.000000	0.002707
2018-08-03	20:55:02	55.299999	0.002707
2018-08-03	20:56:01	54.700001	0.002588
2018-08-03	20:57:01	54.099998	0.002617
2018-08-03	20:58:02	53.599998	0.002531
2018-08-03	20:59:01	53.099998	0.002531
2018-08-03	21:00:01	52.500000	0.002531
2018-08-03	21:01:02	51.900002	0.002503
2018-08-03	21:02:01	51.400002	0.002475
2018-08-03	21:03:01	51.000000	0.002447
2018-08-03	21:04:02	50.400002	0.002393
2018-08-03	21:05:01	50.000000	0.002393
2018-08-03	21:06:01	49.599998	0.002366
2018-08-03	21:07:02	49.000000	0.002340
2018-08-03	21:08:01	48.500000	0.002393
2018-08-03	21:09:01	48.200001	0.002340
2018-08-03	21:10:01	47.799999	0.002313
2018-08-03	21:11:01	47.400002	0.002262
2018-08-03	21:12:01	47.000000	0.002237
2018-08-03	21:13:01	46.700001	0.002237
2018-08-03	21:14:01	46.299999	0.002237
2018-08-03	21:15:01	45.900002	0.002212
2018-08-03	21:16:01	45.599998	0.002187
2018-08-03	21:17:01	45.200001	0.002212
2018-08-03	21:18:01	44.799999	0.002187
2018-08-03	21:19:01	44.500000	0.002115
2018-08-03	21:20:01	44.200001	0.002068
2018-08-03	21:21:01	43.799999	0.002115
2018-08-03	21:22:01	43.500000	0.002091
2018-08-03	21:23:01	43.299999	0.002068
2018-08-03	21:24:01	43.000000	0.002068
2018-08-03	21:25:01	42.700001	0.002045
2018-08-03	21:26:01	42.299999	0.002068
2018-08-03	21:27:01	42.099998	0.002045
2018-08-03	21:28:01	41.900002	0.002022
